Model,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
convnext_base,30.04,30.15,27.8,28.51,29.96,27.06,30.64,28.43,29.69,27.23
densenet161,50.56,52.24,54.79,54.90,50.96,52.62,58.33,53.78,59.49,58.56
googlenet,42.64,46.37,50.21,49.62,42.40,50.50,44.37,45.73,47.07,47.4
mobilenet_v2,45.94,44.59,46.96,49.97,44.54,34.82,46.06,46.1,45.69,42
resnet50,33.65,32.3,35.39,36.05,27.68,38.82,38.59,45.04,41.96,37.7
resnext50_32x4d,34.85,29.38,27.38,37.37,36.05,32.56,32.16,38.02,39.89,28.82
wide_resnet50_2,35.07,37.14,39.3,39.41,41.49,43.39,36.68,37.73,25.76,43.28
